Timestamp,Problem,Source,Root Cause,OSI Layer,Confidence,Next Command,Proposed Fix,Status,Correction Reason
2026-08-25 20:34:11,PC in VLAN 10 cannot ping PC in VLAN 10 on adjacent switch.,Rule Engine (Fast Match),VLAN Trunking Error,Layer 2,High,show interfaces trunk,Set switchport mode trunk on interconnecting interfaces.,ACCEPTED,N/A
2026-08-25 20:34:11,Host on VLAN 20 cannot communicate with default gateway.,Gemini AI,Access Port Assigned to Wrong VLAN,Layer 2,High,show switchport interface,Reassign interface to VLAN 20 using switchport access vlan 20.,ACCEPTED,N/A
2026-08-25 20:34:11,Switch port error-disabled due to port-security violation.,Gemini AI,Port Security Violation,Layer 2,High,show interface port-security,Clear sticky MAC settings and issue shutdown / no shutdown on port.,ACCEPTED,N/A
2026-08-25 20:34:11,Trunk link down between Core and Access switches.,Gemini AI,Native VLAN Mismatch,Layer 2,Medium,show cdp neighbors detail,Align native VLAN IDs on both ends of trunk interface.,ACCEPTED,N/A
2026-08-25 20:34:11,PC gets IP but cannot reach server in VLAN 30; gateway ping works.,Gemini AI,Inter-VLAN Routing Failure / Missing Route,Layer 3,Medium,show ip route,Add ip route command or configure router-on-a-stick subinterfaces.,ACCEPTED,N/A
2026-08-25 20:34:11,R1 cannot reach subnet on R2 across serial link.,Gemini AI,Static Route Next-Hop Unreachable,Layer 3,High,show ip route,Correct destination next-hop IP in static route table.,ACCEPTED,N/A
2026-08-25 20:34:11,OSPF neighbor adjacencies failing to establish.,Gemini AI,OSPF Area / Hello Interval Mismatch,Layer 3,High,show ip ospf neighbor,Align OSPF area IDs and timer intervals across neighboring routers.,ACCEPTED,N/A
2026-08-25 20:34:11,High latency occurs when traffic passes across BGP peering link.,Gemini AI,BGP Path Selection Suboptimal,Layer 3,Low,show ip bgp,Adjust MED or Local Preference attributes for preferred routing.,EDITED,AI suggested resetting BGP peer; preferred adjusting Local Preference instead.
2026-08-25 20:34:11,Router unable to forward packets to remote subnet 10.20.0.0/16.,Gemini AI,Missing Default Gateway / Default Route,Layer 3,High,show ip route,Configure ip route 0.0.0.0 0.0.0.0 pointing to ISP edge router.,ACCEPTED,N/A
2026-08-25 20:34:11,Host receives APIPA address (169.254.x.x) on startup.,Rule Engine (Fast Match),IP Configuration Error / DHCP Scope Mismatch,Layer 3,High,show ip interface brief,Reconfigure static IP setting or issue release/renew on host.,ACCEPTED,N/A
2026-08-25 20:34:11,Branch PCs not receiving dynamic IP addresses from central server.,Gemini AI,Missing IP Helper Address on Router Subinterface,Layer 3,High,show run interface,Add ip helper-address <DHCP_SERVER_IP> to interface configuration.,ACCEPTED,N/A
2026-08-25 20:34:11,"DHCP pool exhausted on router, new clients failing connection.",Gemini AI,DHCP Scope Exhaustion,Layer 7,High,show ip dhcp pool,Increase subnet pool scope size or lower DHCP lease timeouts.,ACCEPTED,N/A
2026-08-25 20:34:11,PC can ping 8.8.8.8 but cannot browse websites by hostname.,Gemini AI,DNS Resolution Failure,Layer 7,High,nslookup,Reconfigure primary and secondary DNS server IPs on host network config.,ACCEPTED,N/A
2026-08-25 20:34:11,Internal clients failing to resolve local domain domain.local.,Gemini AI,Corrupted DNS Forward Lookup Zone,Layer 7,Medium,ipconfig /displaydns,Flush client DNS cache and restart DNS service on domain controller.,EDITED,AI recommended changing DNS server; issue was resolved by clearing stale client cache.
2026-08-25 20:34:11,Engineering workstation blocked from accessing FTP server.,Gemini AI,Implicit Deny All in ACL,Layer 4,High,show access-lists,Add explicit permit rule above deny rule in access list.,ACCEPTED,N/A
2026-08-25 20:34:11,Guest Wi-Fi users able to access internal subnet 192.168.1.0/24.,Gemini AI,Missing Inbound Access Control List,Layer 4,High,show access-lists,Apply inbound ACL restricting access to private RFC 1918 addresses.,ACCEPTED,N/A
2026-08-25 20:34:11,SSH access to router core-rtr-01 timing out from management PC.,Gemini AI,VTY Line ACL Blocking IP Subnet,Layer 4,Medium,show running-config | section vty,Update access-class on line vty 0 4 to include management IP.,ACCEPTED,N/A
2026-08-25 20:34:11,Telnet blocked but SSH connection succeeds.,Gemini AI,Explicit ACL Block on TCP Port 23,Layer 4,High,show ip access-lists,Normal security posture; no action required unless Telnet is explicitly needed.,REJECTED,AI suggested enabling Telnet; rejected to maintain zero-trust security compliance.
2026-08-25 20:34:11,Internal host 192.168.1.10 unreachable from internet.,Gemini AI,Missing Static Port Forwarding / NAT Entry,Layer 3,High,show ip nat translations,Configure ip nat inside source static tcp for inbound traffic.,ACCEPTED,N/A
2026-08-25 20:34:11,LAN hosts lose internet connectivity during peak usage hours.,Gemini AI,PAT/NAT Port Overload Exhaustion,Layer 3,Medium,show ip nat statistics,Add additional public IPs to NAT pool dynamic allocation.,ACCEPTED,N/A
2026-08-25 20:34:11,NAT interface overload failing to translate traffic.,Gemini AI,NAT Outside / Inside Interface Configuration Inverted,Layer 3,High,show ip nat translations,Verify ip nat inside and ip nat outside directives on router interfaces.,EDITED,AI suggested restarting NAT service; corrected interface assignment tags.
